Suburb;kl in month
ADMIRALS PARK;6
ADRIAANSE;7
AMANDA GLEN;6
AMANDELRUG;5
AMANDELSIG;6
ANCHORAGE PARK;6
ANNANDALE;6
ANTILLES/CAYMAN BEACH;4
ARAUNA;6
ASANDA;9
ATHLONE;7
AUDAS ESTATE;6
AURORA;6
AUSTINVILLE;7
AVON;8
AVONDALE - PAROW;6
AVONDALE - WESFLEUR;8
AVONWOOD;9
BALVENIE;8
BANTRY BAY;9
BARONETCY ESTATE;8
BEACON HILL;8
BEACON VALLEY;9
BEL'AIRE;7
BELGRAVIA;8
BELGRAVIA -BELLVILLE;5
BELHAR EXT 1;7
BELHAR EXT 10;8
BELHAR EXT 11;8
BELHAR EXT 12;9
BELHAR EXT 13;8
BELHAR EXT 14;8
BELHAR EXT 16;8
BELHAR EXT 17;7
BELHAR EXT 18;8
BELHAR EXT 19;8
BELHAR EXT 2;8
BELHAR EXT 20;8
BELHAR EXT 21;7
BELHAR EXT 22;7
BELHAR EXT 23;8
BELHAR EXT 3;8
BELHAR EXT 4;8
BELHAR EXT 5;7
BELHAR EXT 6;6
BELHAR EXT 7;7
BELHAR EXT 9;8
BELL GLEN;8
BELLAIR;5
BELLVILLE SOUTH;8
BELMONT PARK;8
BELRAIL;9
BELTHORN ESTATE;7
BERGVLIET;5
BETHANIE;5
BIG BAY;6
BISHOP LAVIS;8
BISHOPSCOURT;7
BIZWENI;3
BLAAUWBERGSTRAND;6
BLOEKOMBOS;9
BLOEMHOF;6
BLOMMENDAL;5
BLOMTUIN;6
BLOUBERG RISE;5
BLOUBERG SANDS;5
BLOUBERGRANT;6
BLUE DOWNS CBD;6
BO OAKDALE;5
BO-KAAP;9
BONNIE BRAE;5
BONNIE BROOK;6
BONTEHEUWEL;7
BOSBELL;7
BOSONIA;7
BOSTON;6
BOTHASIG;6
BRACKEN HEIGHTS;6
BRACKENFELL SOUTH;5
BRANDWAG;6
BRANTWOOD;6
BRENTWOOD PARK - BLUE DOWNS;8
BRIDGEBANK;5
BRIDGETOWN;8
BRIZA;5
BROADLANDS PARK;7
BROADLANDS VILLAGE;7
BROOKLYN;7
BUH-REIN ESTATE;6
BURGUNDY;5
BURGUNDY ESTATE;7
CAMELOT;7
CAMPS BAY / BAKOVEN;8
CAPE FARMS - DISTRICT B;6
CAPE TOWN CITY CENTRE;6
CAREY PARK;9
CENTURY CITY;5
CHANTECLER;5
CHARLESVILLE;7
CHRIS HANI PARK;6
CHRIS NISSEN PARK;6
CHRISMAR;6
CHURCHILL ESTATE;6
CLAMHALL;6
CLAREMONT;5
CLARKES ESTATE;8
CLIFTON;9
CLOVELLY;4
COLORADO PARK;8
CONNAUGHT;7
CONSTANTIA;6
CRAVENBY;9
CRAWFORD;7
CROSSROADS;7
CROYDON;6
DANARAND;7
DE DUIN;7
DE KUILEN;7
DE LA HAYE;6
DE OUDE SPRUIT;6
DE TIJGER;6
DE WIJNLANDEN ESTATE;6
DEACONVILLE;7
DELFT 1 & 2;7
DELFT 3;7
DELFT 4;8
DELFT 5;7
DELFT 6;8
DELFT 7;9
DELFT 8;9
DELFT 9;9
DELFT SOUTH;8
DENNEGEUR;6
DENNEMERE;7
DES HAMPDEN;6
DIE WINGERD;6
DIEP RIVER;4
DOBSON;6
DOOR DE KRAAL;5
DORHILL;7
DRIFTSANDS;9
DUNOON;9
D'URBANVALE;7
DURBANVILLE;6
DURBANVILLE HILLS;6
DURBELL;6
DURMONTE;7
EAGLE PARK;7
EASTRIDGE;9
EDENPARK;5
EDGEMEAD;5
EERSTERIVIER;7
EERSTERIVIER SOUTH;7
EIKENBOSCH KUILS RIVER;5
EIKENDAL;8
EINDHOVEN;7
EKUPHUMULENI;8
ELECTRIC CITY;9
ELFINDALE;6
ELIM;6
ELNOR;9
ELSIES RIVER;8
EPPING FOREST;8
ERINVALE ESTATE;4
EUREKA ESTATE;7
EVERGLEN;6
EVERSDAL;6
EVERSDAL HEIGHTS;6
EYETHU;7
FAIRDALE;7
FAIRFIELD ESTATE;7
FAIRVIEW GOLF ESTATE;5
FERNDALE;6
FIRGROVE;8
FISANTEKRAAL;8
FISH HOEK;4
FLAMINGO VLEI;6
FLORIDA;9
FOREST HEIGHTS;8
FOREST VILLAGE;8
FOUNTAIN VILLAGE;6
FRAAIGELEGEN;5
FRESNAYE;9
GARDEN VILLAGE;9
GARDENS;6
GATESVILLE;9
GAYLEE;8
GERSHAM;6
GLENCAIRN;4
GLENHAVEN;6
GLENLILY;7
GLENWOOD;5
GOEDEHOOP;6
GOEDEMOED;6
GOLDEN ACRE;6
GOLDEN HILL EXT 1;5
GOODRAIL;7
GOODWOOD  EXT 1;6
GOODWOOD ESTATE;6
GORDON HEIGHTS;8
GORDONS BAY;5
GORDONS BAY EXT 12;6
GORDONS BAY VILLAGE;5
GORDONS STRAND ESTATE;7
GRAANENDAL;6
GRACELAND;6
GRASSY PARK;7
GREEN POINT;6
GREENFIELDS;7
GREENLANDS;7
GREENVILLE GARDEN CITY;5
GREENWAYS;6
GROENVALLEI;5
GUGULETU;9
HAASENDAL;8
HAGLEY;6
HANOVER PARK;7
HAPPY VALLEY;6
HARARE;6
HARBOUR ISLAND;5
HARMONY VILLAGE;6
HAZENDAL;9
HEATHFIELD;6
HEEMSTEDE;4
HEIDEVELD;7
HELDERBERG ESTATE;6
HELDERBERG PARK;7
HELDERRANT;6
HELDERVUE;6
HELDERZICHT;6
HELENA HEIGHTS;6
HERITAGE PARK;4
HIGHBURY;7
HIGHBURY PARK;6
HIGHGATE;9
HIGHLANDS VILLAGE;6
HILLCREST HEIGHTS;8
HINDLE PARK;7
HOHEIZEN;5
HOOGSTEDE;7
HOUT BAY;6
HUNTERS CREEK;6
HYDE PARK;9
IKWEZI PARK;7
ILITHA PARK;8
JACARANDAS;5
JACQUES HILL;5
JAGTERSHOF;6
JOUBERTPARK;6
KAAPSIG;5
KAAPZICHT;6
KALK BAY;4
KALKFONTEIN 1;9
KALKFONTEIN II;8
KALKSTEENFONTEIN;7
KANONBERG;7
KELDERHOF;5
KEMPENVILLE;7
KENILWORTH;5
KENRIDGE;6
KENSINGTON;7
KEWTOWN;8
KHAYA;7
KINGSTON;6
KIRSTENHOF;4
KLEINBEGIN;8
KLEINBOSCH;6
KLEINBRON;5
KLEINVLEI TOWN;7
KLIPDAM;6
KLIPHEUWEL HOUSING SCHEME;9
KLIPKOP;7
KLOOFZICHT;7
KOMMETJIE;4
KUILSRIVIER SOUTH SMALLHOLDINGS;4
KUYASA;6
LA CONCORDE;5
LA MONTAGNE;5
LA ROCHELLE;6
LA SANDRA;6
LABIANCE;6
LAKESIDE;4
LAND EN ZEEZICHT;6
LANGA;7
LANGEBERG HOOGTE;6
LANGEBERG RIDGE;6
LANGEBERG VILLAGE;6
LANSDOWNE;7
LAVENDER HILL;7
LEIDEN;6
LENTEGEUR;8
LEONSDALE;8
LLANDUDNO;7
LOEVENSTEIN;6
LOTUS RIVER;8
LOUCHARMANTE;6
LOURENSIA PARK;6
LWANDLE;7
LYNN'S VIEW;5
MABILLE PARK;6
MACASSAR;8
MACASSAR VILLAGE;7
MAITLAND;8
MAITLAND GARDEN VILLAGE;8
MALIBU VILLAGE;9
MAMRE;8
MANDELA PARK;7
MANENBERG;9
MARINDA PARK;6
MARTINVILLE;5
MARVINPARK;7
MATROOSFONTEIN;8
MEADOWRIDGE;5
MELKBOSCH STRAND;6
MEYERHOF;6
MFULENI;8
MIKPUNT;6
MIKRO PARK;6
MILNERTON;6
MILNERTON RIDGE;6
MISSION GROUNDS;9
MONTAGUE;6
MONTANA;8
MONTANA EXTENSION;8
MONTE SERENO;5
MONTE VISTA;5
MONTEVIDEO;6
MORGANS VILLAGE;6
MORGENSTER;6
MORGENSTER HEIGHTS;6
MORNINGSIDE;5
MORNINGSTAR;7
MOUNTAINSIDE;7
MOUNTAINSIDE ESTATE;6
MOUNTAINSIDE EXT 2;5
MOUNTVIEW;8
MOWBRAY;5
MUIZENBERG;4
NERINA;6
NEW MACASSAR;8
NEW SCHEME;8
NEW WOODLANDS;8
NEWFIELDS;8
NEWLANDS;6
NOMZAMO;8
NONQUBELA;6
NOOITGEDACHT;8
NOORDHOEK;6
NORMANDIE ESTATE;5
NORTHGATE;6
NORTHPINE;7
NYANGA;9
OAKDALE;5
OAKDENE;8
OAKGLEN;5
OBSERVATORY;4
OCEAN VIEW;8
OLIVE GROVE;6
ONVERWACHT - GORDON'S BAY;5
ONVERWACHT - THE STRAND;6
OOSTERZEE-BELLVILLE;6
ORANJEZICHT;6
OTTERY;6
OUDE WESTHOF;6
PAARDE VLEI;7
PANORAMA;6
PAREL VALLEI;5
PARKLANDS;6
PARKWOOD;9
PAROW;9
PAROW NORTH;6
PAROW VALLEY;8
PEACOCK CLOSE;9
PEARL MARINA;5
PEARL RISE;6
PEERLESS PARK EAST;7
PEERLESS PARK NORTH;6
PEERLESS PARK WEST;7
PELIKAN HEIGHTS;9
PELIKAN PARK;6
PELLA;6
PENHILL;8
PENLYN ESTATE;8
PHILADELPHIA;7
PHILIPPI;9
PHOENIX;8
PINATI;8
PINEHURST;5
PINELANDS;5
PLATTEKLOOF 1;8
PLATTEKLOOF 2;8
PLATTEKLOOF 3;7
PLATTEKLOOF GLEN;5
PLUMSTEAD;5
PORTLAND;7
PROTEA HEIGHTS;6
PROTEA PARK - WESFLEUR;8
PROTEA VALLEY;6
PROTEA VILLAGE;5
RAVENSMEAD;8
RETREAT;6
RICHMOND;7
RICHMOND ESTATE;6
RICHWOOD;6
RIDGEWORTH;6
RIVERSIDE;8
RIVERTON ELSIES RIVER;8
ROBINVALE;8
ROCKLANDS;8
ROME GLEN;6
RONDEBOSCH;6
RONDEBOSCH EAST;7
RONDEVLEI PARK;7
ROOSENDAL;8
ROSEBANK;5
ROSEDALE - KLEIN VLEI;8
ROSENDAL;6
ROUNDHAY;5
ROUXVILLE;6
ROYAL ASCOT;4
RUGBY;6
RUITERSHOOGTE;5
RUSTDAL;8
RUWARI;6
RUYTERWACHT;8
RYLANDS;9
SABATA DALINDYEBO SQUARE;6
SALT RIVER;8
SANDDRIFT;6
SAREPTA;7
SAXONSEA;8
SCARBOROUGH;3
SCHOONGEZICHT;6
SCOTTSDENE;7
SCOTTSVILLE;8
SEA BREEZE PARK;5
SEA POINT;6
SEAWINDS;7
SERCOR PARK;7
SHERWOOD;9
SHIRLEY PARK;7
SILVEROAKS;6
SILVERSANDS;6
SILVERTOWN;8
SIMON'S TOWN;3
SIR LOWRY'S PASS;9
SIRROCCO'S;6
SMARTIE TOWN;7
SOMERSET RIDGE;4
SOMERSET WEST;4
SONEIKE I;6
SONEIKE II;6
SONKRING;6
SONNEKUIL;5
SONNENDAL;7
SONSTRAAL;6
SONSTRAAL HEIGHTS;6
SOUTHFIELD;6
SOUTHFORK;8
SPANISH FARM;6
SPRINGBOKPARK;6
ST DUMAS;6
ST JAMES;4
ST MICHAELS;7
STEENBERG;7
STELLENBERG;6
STELLENDALE;6
STELLENRIDGE;5
STELLENRYK;6
STRAND;6
STRANDFONTEIN;7
STRANDVALE;5
STUART'S HILL;6
SUMMER GREENS;8
SUN CITY;7
SUN VALLEY;4
SUNBIRD PARK;9
SUNNINGDALE;5
SUNNYDALE;6
SUNRIDGE;6
SUNSET BEACH;6
SURREY ESTATE;9
SYBRAND PARK;6
TABLE VIEW;5
TAFELSIG;9
TAMBOERSKLOOF;5
TEMPERANCE TOWN;6
THE CONIFERS;9
THE CREST;6
THE HAGUE;7
THE LINK;5
THE RANGE;7
THORNTON;6
THREE ANCHOR BAY;6
TIJGERHOF;6
TOKAI;4
TOWNSEND ESTATE;7
TURTLE CREEK;7
TUSCANY GLEN;8
TWIN PALMS;5
TYGERDAL;6
UITSIG;7
UITZICHT;6
UMRHABULO TRIANGLE;6
VALHALLA PARK;8
VALMARY PARK;7
VAN DER STEL;5
VAN RIEBEECKSHOF;7
VANGUARD;8
VASCO ESTATE;6
VERGESIG;5
VICTORIA MXENGE;5
VICTORIA PARK;6
VIERLANDEN;7
VIKING VILLAGE;5
VOELVLEI;6
VOORBRUG;8
VREDEHOEK;5
VREDEKLOOF;6
VREDEKLOOF EAST;5
VREDEKLOOF HEIGHTS;5
VREDELUST BELLVILLE;6
VREDELUST KUILS RIVER;6
VREDENBERG - BELLVILLE;5
VRYGROND;9
VYGEBOOM;6
WALLACEDENE;9
WATERKLOOF DE BRON EXT 44;5
WELCOME;8
WELGEDACHT;6
WELGELEGEN;6
WELGEMOED;6
WELGEVONDEN;6
WELLWAY PARK EAST;6
WEMBLEY PARK;8
WESBANK;6
WEST BEACH;6
WEST RIDING;6
WESTGATE;8
WESTLAKE;9
WESTRIDGE - MITCHELLS PLAIN;7
WESTRIDGE - SOMERSET WEST;6
WETTON;6
WILDWOOD;9
WIMBLEDON ESTATE;9
WINDERMERE;7
WINDSOR ESTATE;6
WINDSOR PARK ESTATE;6
WINSLOW;6
WITSAND;8
WOODLANDS;8
WOODSTOCK;6
WYNBERG;6
ZEEKOEIVLEI;7
ZEVENDAL;5
ZEVENWACHT COUNTRY ESTATE;6
ZEVENZICHT;5
ZONNEBLOEM;6
ZOO PARK;6
